Time,MotorVoltage,SupplyVoltage,
2693.8733,-0.12,12.3,
2693.8773,-0.12,12.3,
2693.8813,-0.12,12.3,
2693.8855,-0.12,12.3,
2693.8893,-0.12,12.3,
2693.8893,-0.12,12.3,
2693.8934,-0.12,12.3,
2693.8973,-0.12,12.3,
2693.9014,-0.12,12.3,
2693.9054,-0.12,12.3,
2693.9093,-0.12,12.3,
2693.9134,-0.12,12.3,
2693.9173,-0.12,12.3,
2693.9214,-0.12,12.3,
2693.9254,-0.12,12.3,
2693.9293,-0.12,12.3,
2693.9333,-0.12,12.3,
2693.9373,-0.12,12.3,
2693.9413,-0.12,12.3,
2693.9454,-0.12,12.3,
2693.9494,-0.12,12.3,
2693.9494,-0.12,12.3,
2693.9533,-0.12,12.3,
2693.9573,-0.12,12.3,
2693.9614,-0.12,12.275,
2693.9656,-0.12,12.275,
2693.9693,-0.12,12.275,
2693.9733,-0.12,12.275,
2693.9773,-0.12,12.275,
2693.9814,-0.12,12.275,
2693.9852,-0.12,12.275,
2693.9893,-0.12,12.275,
2693.9933,-0.12,12.275,
2693.9973,-0.12,12.275,
2694.0014,-0.12,12.275,
2694.0054,-0.12,12.275,
2694.0093,-0.12,12.275,
2694.0134,-0.12,12.275,
2694.0134,-0.12,12.275,
2694.0173,-0.12,12.275,
2694.0213,-0.12,12.275,
2694.0254,-0.12,12.275,
2694.0294,-0.12,12.275,
2694.0334,-0.12,12.275,
2694.0374,-0.12,12.275,
2694.0413,-0.12,12.275,
2694.0452,-0.12,12.275,
2694.0493,-0.12,12.275,
2694.0533,-0.12,12.3,
2694.0574,-0.12,12.3,
2694.0611,-0.12,12.3,
2694.0654,-0.12,12.275,
2694.0654,-0.12,12.275,
2694.0693,-0.12,12.275,
2694.0734,-0.12,12.275,
2694.0774,-0.12,12.275,
2694.0814,-0.12,12.3,
2694.0854,-0.12,12.275,
2694.0893,-0.12,12.275,
2694.0931,-0.12,12.275,
2694.0973,-0.12,12.275,
2694.1013,-0.12,12.275,
2694.1054,-0.12,12.275,
2694.1094,-0.12,12.275,
2694.1133,-0.12,12.275,
2694.1173,-0.12,12.275,
2694.1213,-0.12,12.275,
2694.1258,-0.12,12.275,
2694.1293,-0.12,12.275,
2694.1293,-0.12,12.275,
2694.1335,-0.12,12.3,
2694.1373,-0.12,12.3,
2694.1412,-0.12,12.3,
2694.1455,-0.12,12.3,
2694.1493,-0.12,12.3,
2694.1533,-0.12,12.3,
2694.1574,-0.12,12.3,
2694.1613,-0.12,12.3,
2694.1654,-0.12,12.3,
2694.1693,-0.12,12.3,
2694.1733,-0.12,12.325,
2694.1773,0.24,12.325,
2694.1813,0.16,12.325,
2694.1854,0.12,12.325,
2694.1894,-0.04,12.325,
2694.1894,-0.04,12.325,
2694.1933,-0.02,12.325,
2694.1975,0.12,12.325,
2694.2014,0.12,12.325,
